ts	trial	knob	value	val_rmse	adopted	config
20:44	0	baseline	-	0.6192	base	{"MULT": 16, "DIM1": 192, "N_LAYERS": 3, "N_HEADS": 8, "FF_DIM": 768, "LR": 0.001, "WEIGHT_DECAY": 0.0001, "EMA_DECAY": 0.9995, "T_USED": 20, "AUG_SHIFT_P": 0.675, "AUG_ROT_P": 0.5, "BATCH": 64, "AUX_W": 0.0}
20:51	1	LR	0.0007	0.6340	no	{"MULT": 16, "DIM1": 192, "N_LAYERS": 3, "N_HEADS": 8, "FF_DIM": 768, "LR": 0.001, "WEIGHT_DECAY": 0.0001, "EMA_DECAY": 0.9995, "T_USED": 20, "AUG_SHIFT_P": 0.675, "AUG_ROT_P": 0.5, "BATCH": 64, "AUX_W": 0.0}
21:06	0	baseline	-	0.6217	base	{"MULT": 16, "DIM1": 192, "N_LAYERS": 3, "N_HEADS": 8, "FF_DIM": 768, "LR": 0.001, "WEIGHT_DECAY": 0.0001, "EMA_DECAY": 0.9995, "T_USED": 20, "AUG_SHIFT_P": 0.675, "AUG_ROT_P": 0.5, "BATCH": 64, "AUX_W": 0.0}
21:13	1	LR	0.0007	0.6455	no	{"MULT": 16, "DIM1": 192, "N_LAYERS": 3, "N_HEADS": 8, "FF_DIM": 768, "LR": 0.001, "WEIGHT_DECAY": 0.0001, "EMA_DECAY": 0.9995, "T_USED": 20, "AUG_SHIFT_P": 0.675, "AUG_ROT_P": 0.5, "BATCH": 64, "AUX_W": 0.0}
21:21	2	LR	0.0015	0.6176	no	{"MULT": 16, "DIM1": 192, "N_LAYERS": 3, "N_HEADS": 8, "FF_DIM": 768, "LR": 0.001, "WEIGHT_DECAY": 0.0001, "EMA_DECAY": 0.9995, "T_USED": 20, "AUG_SHIFT_P": 0.675, "AUG_ROT_P": 0.5, "BATCH": 64, "AUX_W": 0.0}
21:28	3	LR	0.002	0.6199	no	{"MULT": 16, "DIM1": 192, "N_LAYERS": 3, "N_HEADS": 8, "FF_DIM": 768, "LR": 0.001, "WEIGHT_DECAY": 0.0001, "EMA_DECAY": 0.9995, "T_USED": 20, "AUG_SHIFT_P": 0.675, "AUG_ROT_P": 0.5, "BATCH": 64, "AUX_W": 0.0}
21:36	4	MULT	24	0.7043	no	{"MULT": 16, "DIM1": 192, "N_LAYERS": 3, "N_HEADS": 8, "FF_DIM": 768, "LR": 0.001, "WEIGHT_DECAY": 0.0001, "EMA_DECAY": 0.9995, "T_USED": 20, "AUG_SHIFT_P": 0.675, "AUG_ROT_P": 0.5, "BATCH": 64, "AUX_W": 0.0}
21:44	5	MULT	32	0.6309	no	{"MULT": 16, "DIM1": 192, "N_LAYERS": 3, "N_HEADS": 8, "FF_DIM": 768, "LR": 0.001, "WEIGHT_DECAY": 0.0001, "EMA_DECAY": 0.9995, "T_USED": 20, "AUG_SHIFT_P": 0.675, "AUG_ROT_P": 0.5, "BATCH": 64, "AUX_W": 0.0}
21:51	6	MULT	12	0.6186	no	{"MULT": 16, "DIM1": 192, "N_LAYERS": 3, "N_HEADS": 8, "FF_DIM": 768, "LR": 0.001, "WEIGHT_DECAY": 0.0001, "EMA_DECAY": 0.9995, "T_USED": 20, "AUG_SHIFT_P": 0.675, "AUG_ROT_P": 0.5, "BATCH": 64, "AUX_W": 0.0}
21:59	7	DIM1	256	0.6281	no	{"MULT": 16, "DIM1": 192, "N_LAYERS": 3, "N_HEADS": 8, "FF_DIM": 768, "LR": 0.001, "WEIGHT_DECAY": 0.0001, "EMA_DECAY": 0.9995, "T_USED": 20, "AUG_SHIFT_P": 0.675, "AUG_ROT_P": 0.5, "BATCH": 64, "AUX_W": 0.0}
01:59	0	baseline@2400s	-	0.5088	base	{"MULT": 16, "DIM1": 192, "N_LAYERS": 2, "N_HEADS": 8, "FF_DIM": 768, "LR": 0.001, "WEIGHT_DECAY": 0.0001, "EMA_DECAY": 0.9995, "T_USED": 20, "AUG_SHIFT_P": 0.675, "AUG_ROT_P": 0.5, "BATCH": 64, "AUX_W": 0.0}
02:40	1	AUX_W=0.4	-	0.5872	keep	{"MULT": 16, "DIM1": 192, "N_LAYERS": 2, "N_HEADS": 8, "FF_DIM": 768, "LR": 0.001, "WEIGHT_DECAY": 0.0001, "EMA_DECAY": 0.9995, "T_USED": 20, "AUG_SHIFT_P": 0.675, "AUG_ROT_P": 0.5, "BATCH": 64, "AUX_W": 0.0}
03:21	2	AUX_W=0.8	-	0.6498	keep	{"MULT": 16, "DIM1": 192, "N_LAYERS": 2, "N_HEADS": 8, "FF_DIM": 768, "LR": 0.001, "WEIGHT_DECAY": 0.0001, "EMA_DECAY": 0.9995, "T_USED": 20, "AUG_SHIFT_P": 0.675, "AUG_ROT_P": 0.5, "BATCH": 64, "AUX_W": 0.0}
04:02	3	LR=5e-4	-	0.5042	keep	{"MULT": 16, "DIM1": 192, "N_LAYERS": 2, "N_HEADS": 8, "FF_DIM": 768, "LR": 0.001, "WEIGHT_DECAY": 0.0001, "EMA_DECAY": 0.9995, "T_USED": 20, "AUG_SHIFT_P": 0.675, "AUG_ROT_P": 0.5, "BATCH": 64, "AUX_W": 0.0}
04:43	4	MULT=32	-	0.5130	keep	{"MULT": 16, "DIM1": 192, "N_LAYERS": 2, "N_HEADS": 8, "FF_DIM": 768, "LR": 0.001, "WEIGHT_DECAY": 0.0001, "EMA_DECAY": 0.9995, "T_USED": 20, "AUG_SHIFT_P": 0.675, "AUG_ROT_P": 0.5, "BATCH": 64, "AUX_W": 0.0}
